,Date,Num
0,12/25/2020,1
1,12/26/2020,1
2,12/27/2020,2
3,12/28/2020,1
4,12/29/2020,1
5,01/04/2021,2
6,01/05/2021,2
7,01/07/2021,1
8,01/08/2021,2
9,01/20/2021,3
10,01/11/2021,3
11,01/12/2021,4
12,01/13/2021,2
13,01/14/2021,2
14,01/15/2021,6
15,01/10/2021,1
16,01/16/2021,3
17,01/17/2021,3
18,01/18/2021,2
19,01/19/2021,4
20,01/21/2021,6
21,01/22/2021,8
22,01/23/2021,5
23,01/24/2021,1
24,01/25/2021,2
25,01/26/2021,4
26,01/27/2021,1
27,01/28/2021,1
28,01/29/2021,1
29,01/30/2021,3
30,01/31/2021,2
31,02/01/2021,2
32,02/02/2021,3
33,02/03/2021,4
34,02/04/2021,3
35,02/05/2021,5
36,02/06/2021,1
37,02/07/2021,4
38,02/08/2021,1
39,02/09/2021,2
40,02/10/2021,1
41,02/11/2021,2
42,02/12/2021,3
43,02/13/2021,5
44,02/14/2021,3
45,02/15/2021,2
46,02/16/2021,1
47,02/18/2021,1
48,02/19/2021,2
49,02/21/2021,3
50,02/22/2021,1
51,02/23/2021,3
52,02/24/2021,6
